case,pass_number,predicted_ratio,negative_q,negative_p,boundary_l1,boundary_bolometric
x1-x9-x10,1,0.8338154869356428,403832,377090,1.4040665890806933e-06,1.3242758024468508e-06
x1-x9-x10,2,0.8792324104861947,0,0,2.950871259453911e-06,2.949791981903403e-06
x2-x9-x10,1,0.8410044670179702,359126,354960,1.5980941023678312e-06,1.5576687512895442e-06
x2-x9-x10,2,0.8817751052459282,0,0,3.0175400258077807e-06,3.0161339122275478e-06
