cell,case,alpha,ln thermal energy,ln HII/HI,ln HeII/HeI,ln HeIII/HeI,cell_norm
1,control,0.0,2.4910588234987507,0.49222938772518354,0.03423146446752234,0.9291924605471724,2.7041143197299538
1,half,0.00390625,2.475324858761997,0.49364357086996513,0.03536503550605552,0.9901775109830628,2.7115713747676473
1,full,0.0078125,2.4592809735504453,0.4950081786922187,0.03652499068198445,1.0528991608036078,2.7208503673676496
2,control,0.0,2.5486743243768544,0.4430783272551597,0.04170448300267893,0.7903566576725881,2.705265629480948
2,half,0.00390625,2.5313945050964755,0.44445740509434906,0.043073376080785764,0.8430071465680764,2.705183337644175
2,full,0.0078125,2.513745813118991,0.44579090485835593,0.04447197306785888,0.897385908734524,2.706460191728584
