cell_index,cell_mass_g_cm2,squared_l2_excess,squared_mass_norm_excess
0,0.46257913777593723,-0.011825574022169712,-9.341527827161276e-06
1,0.46257913777593723,-0.07055370196714543,-5.573339349106765e-05
2,0.4625791377759373,-0.08844610215567722,-6.986736736350119e-05
3,0.4625791377759372,-0.09812563635800087,-7.751364634627612e-05
4,0.46257913777593695,-0.10436914506027524,-8.244566150021942e-05
5,0.4625791377759376,-0.10859430458493263,-8.57832961215739e-05
6,0.4625791377759372,-0.11173647000883971,-8.826542727985367e-05
7,0.4625791377759372,-0.11656073086116579,-9.207631772060543e-05
8,0.7538651720975449,-0.11673465037513725,-0.0001502806640190772
9,0.7538651720975453,-0.1168924911416541,-0.00015048386345579306
10,0.9444705082590668,-0.1147452682231408,-0.00018506863657248004
11,0.9444705082590668,-0.10990533004372806,-0.00017726246927835567
12,0.9444705082590676,-0.10543023646843418,-0.00017004474710698633
13,0.9444705082590676,-0.10058701538678519,-0.00016223328493447376
14,0.9444705082590676,-0.09567999033824662,-0.0001543189155715993
15,0.9444705082590676,-0.09083854036520808,-0.00014651030995832296
16,0.9444705082590676,-0.08591751283734174,-0.00013857335648546337
17,0.9444705082590659,-0.08066859191013977,-0.00013010755519782342
18,0.9444705082590676,-0.07498192854829965,-0.00012093573442194801
19,0.9444705082590676,-0.06911440714248866,-0.00011147221402194698
20,1.0440057734664734,-0.06141050340663921,-0.00010948514465621404
21,1.0440057734664752,-0.05399254406929604,-9.626010486578763e-05
22,1.6263214811010371,-0.037002693614880816,-0.00010276598204355278
23,1.6263214811010371,-0.01638316256841884,-4.550024946415403e-05
24,1.6263214811010371,-0.0013331457710964367,-3.7024881431561145e-06
25,1.6263214811010407,0.009366203042767845,2.6012350985233866e-05
26,1.6263214811010407,0.01622429859958803,4.5059043428232754e-05
27,1.6263214811010336,0.020105919331699022,5.5839300957797385e-05
28,1.6263214811010371,0.02202902503716414,6.118025933376301e-05
29,1.6263214811010371,0.022946986388730717,6.37296737292012e-05
30,1.6263214811010407,0.02365256785157298,6.568925463688833e-05
31,1.6263214811010407,0.024651345473041243,6.846311656655155e-05
32,1.6263214811010371,0.026092599637818792,7.246584947997805e-05
33,1.6263214811010371,0.026570513370315914,7.37931386379872e-05
34,2.2681804078587007,0.03628668234633811,0.00014055118008439712
35,2.2681804078587007,0.05182696645152779,0.00020074420762502672
36,2.3436381072710333,0.0665785443995537,0.0002664615105918961
37,2.3436381072710333,0.08111760781877288,0.0003246499380532584
38,2.343638107271019,0.09419010950130134,0.00037696887318403055
39,2.3436381072710333,0.10567856522712084,0.00042294811912096415
40,2.343638107271026,0.11542222949350257,0.00046194433813619493
41,2.343638107271026,0.12336433442924195,0.000493730333122151
42,2.343638107271019,0.1296871925730956,0.0005190357576769224
43,2.3436381072710333,0.13477275750116208,0.0005393892713376244
44,2.3436381072710333,0.1390991565242698,0.0005567044414050598
45,2.3436381072710333,0.14680574722478837,0.0005875478582759672
46,2.9626328832919313,0.14276404095219813,0.0007222811981276386
47,2.9626328832919313,0.12829654677354874,0.0006490863028335331
48,3.096877934582224,0.1120692649144766,0.0005926799692506168
49,3.09687793458221,0.09223210330575964,0.0004877708459397222
50,3.0968779345822384,0.07561006989663316,0.0003998649757859261
51,3.096877934582224,0.06170157810518491,0.00032630971071330423
52,3.09687793458221,0.0508802115533075,0.00026908075324569785
53,3.0968779345822384,0.0432912000860087,0.0002289461535718853
54,3.096877934582224,0.03901352149491168,0.00020632358691393245
55,3.096877934582224,0.03817390143641146,0.0002018832437847626
56,3.09687793458221,0.040968565853987636,0.00021666286799608162
57,3.0968779345822384,0.06801265597263163,0.0003596859395952481
58,3.8053024097986565,0.05071896497619208,0.0003295863350082922
59,3.8053024097986565,0.018048276079026076,0.00011728285797819998
60,3.873025034696994,0.005996026519707709,3.9657331523192406e-05
61,3.873025034696994,0.00035147132720364814,2.3246086217262045e-06
62,3.873025034697008,-0.00013728746597494606,-9.080104189420522e-07
63,3.8730250346969797,0.0006083291789520193,4.0234498372611595e-06
64,3.873025034697008,0.0008870614538909984,5.8669670727399255e-06
65,3.8730250346969797,0.0002191781684635289,1.4496302277575584e-06
66,3.8730250346969797,-0.0002361282101289849,-1.5617367068482611e-06
67,3.873025034697008,0.0036679335986799975,2.4259475545982105e-05
68,3.9817423663122895,0.01001144903183937,6.807375942238186e-05
69,3.9817423663122895,0.04967531837448767,0.00033777185115767516
70,4.661396517496229,0.034051036494990486,0.0002710541257824681
71,4.661396517496257,0.0012236914668223308,9.740867089781305e-06
72,4.661396517496257,-0.0005138925963255103,-4.090703919206315e-06
73,4.661396517496229,0.0007237482954484028,5.761203819395605e-06
74,4.661396517496229,0.0017014101148670256,1.3543618014405445e-05
75,4.661396517496257,0.001105510243230245,8.800117217178511e-06
76,4.661396517496229,-0.00043879759027342643,-3.4929303031499536e-06
77,4.661396517496229,-0.0010217384312383234,-8.133274219079879e-06
78,4.661396517496257,0.0023705988678772386,1.8870515257528495e-05
79,4.661396517496257,0.03910059613143916,0.0003112497883446183
80,5.072605060923621,0.04282697897660119,0.00037098652000804353
81,5.0726050609236495,0.05444300840430305,0.0004716097821823079
82,5.541266998395798,0.0335910479922213,0.00031786467655973424
83,5.54126699839577,-0.0006687144970488819,-6.327897759083608e-06
84,5.541266998395827,-0.0029084511549803166,-2.752203164014693e-05
85,5.541266998395798,-0.0025816371096170844,-2.4429462427997813e-05
86,5.54126699839577,-0.0027733577095330293,-2.6243672169123715e-05
87,5.541266998395798,-0.00392226593958021,-3.71155372870366e-05
88,5.541266998395827,-0.003639994473343956,-3.4444464674535785e-05
89,5.541266998395798,0.004314960141580066,4.083151588748017e-05
90,5.541266998395798,0.029899039465847464,0.0002829280143763048
91,5.541266998395798,0.24273756628020493,0.0022969720388724356
92,6.913171598689246,0.16429901005698425,0.0019396435314950407
93,6.913171598689246,0.007059161578193341,8.333742904581176e-05
94,6.965393532192536,-0.006729955718915049,-8.005113679919106e-05
95,6.965393532192479,-0.002669667384984271,-3.1755024545416396e-05
96,6.965393532192479,0.002260084461555029,2.6883138309687586e-05
97,6.965393532192536,0.0017113859159889919,2.0356506609991414e-05
98,6.965393532192536,-0.004377254491426564,-5.206634526780376e-05
99,6.965393532192479,-0.008869345207212295,-0.00010549863864724744
100,6.96672092933494,0.006546113655160252,7.787922015892189e-05
101,6.9667209293348265,0.2251752584378265,0.0026789136959755448
102,8.577283709691528,0.12965576213734026,0.0018991148793948323
103,8.577283709691528,-0.009797084344138791,-0.00014350144062962364
104,8.577283709691528,0.0017329083471159708,2.5382535819344462e-05
105,8.577283709691585,0.014655771566263718,0.0002146683910663431
106,8.577283709691585,0.016068763914052552,0.00023536500144386222
107,8.577283709691528,0.007050605812586762,0.00010327277543783747
108,8.577283709691528,-0.006513582552309755,-9.540680135877671e-05
109,8.577283709691585,0.008591983475970635,0.0001258498920043848
110,9.267164384313276,0.004264538191933307,6.748830388539297e-05
111,9.267164384313332,0.00767249092320964,0.00012142074374265388
112,9.96596287763748,-0.009178228825987256,-0.000156202429657949
113,9.965962877637537,0.005459629929761702,9.291634325431058e-05
114,9.965962877637537,0.014284684752786794,0.00024310817561722298
115,9.96596287763748,0.013055134932472217,0.0002221827146203421
116,9.96596287763748,0.005432196071142562,9.244945193437815e-05
117,9.965962877637537,-0.008065578499680261,-0.0001372664576284915
118,10.207178219104037,-0.009429216628302138,-0.00016435803855366875
119,10.207178219104094,-0.003803767346407093,-6.630240504746352e-05
120,11.10210311924692,-0.009699611794793452,-0.00018389471515153195
121,11.102103119246863,0.005620942940703154,0.00010656732690255331
122,11.102103119246863,0.008072741887586428,0.00015305092629649427
123,11.102103119246863,0.006254564616917864,0.00011858014557266595
124,11.102103119246863,0.003674935368356588,6.967301445269977e-05
125,11.102103119246863,0.0016702382144628588,3.1666007586893304e-05
126,11.102103119246863,0.0005639948228864895,1.069276477202124e-05
127,11.102103119246863,0.0005602476854113947,1.0621722879500754e-05
