         2295918 function calls (2246763 primitive calls) in 1294.091 seconds

   Ordered by: cumulative time
   List reduced from 2701 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    2.570    0.107    2.571    0.107 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/numeric.py:97(zeros_like)
       61    0.001    0.000    1.865    0.031 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/_afm.py:379(__init__)
       61    1.178    0.019    1.190    0.020 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/_afm.py:111(_parse_header)
       54    0.000    0.000    0.923    0.017 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/multigroup_continuum.py:379(<genexpr>)
       96    0.763    0.008    0.772    0.008 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/font_manager.py:494(get_weight)
        2    0.000    0.000    0.659    0.329 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b5x_full_depth_block_probe.py:152(_parent_group_planck)
       61    0.151    0.002    0.484    0.008 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/_afm.py:201(_parse_char_metrics)
  878/786    0.015    0.000    0.466    0.001 {built-in method builtins.__build_class__}
      106    0.004    0.000    0.355    0.003 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/artist.py:152(_update_set_signature_and_docstring)
      105    0.001    0.000    0.350    0.003 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/artist.py:119(__init_subclass__)


         2295918 function calls (2246763 primitive calls) in 1294.091 seconds

   Ordered by: internal time
   List reduced from 2701 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23  492.989   21.434  493.121   21.440 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/lib/_format_impl.py:780(read_array)
       40  178.311    4.458  185.540    4.638 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:395(_piecewise_constant_overlap_integral_columns)
        1  156.437  156.437  156.471  156.471 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b5x_full_depth_block_probe.py:107(_full_column)
     1332   98.050    0.074   98.050    0.074 {built-in method numpy.array}
        3   96.520   32.173  194.953   64.984 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/continuum_emission.py:286(ground_state_milne_continuum)
        3   61.133   20.378   61.248   20.416 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/continuum_emission.py:428(ground_state_milne_radiative_rates)
       69   38.260    0.554   38.281    0.555 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/radiation.py:16(planck_nu)
       93   37.527    0.404   37.636    0.405 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/multigroup_continuum.py:153(group_average_from_quadrature_nodes)
        4   23.842    5.960  228.762   57.191 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:323(_lorentz_remap_group_density)
      437   19.256    0.044   19.256    0.044 {method 'reshape' of 'numpy.ndarray' objects}
        1   19.237   19.237  245.779  245.779 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b7f_assembled_diagnostics.py:194(assembled_block_diagnostics)
        2   17.972    8.986  139.909   69.955 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:933(comoving_group_radiation)
       13   14.291    1.099   14.291    1.099 {method 'repeat' of 'numpy.ndarray' objects}
     2038    8.698    0.004    8.698    0.004 {method 'reduce' of 'numpy.ufunc' objects}
      384    7.157    0.019    7.157    0.019 {method 'searchsorted' of 'numpy.ndarray' objects}
        6    5.938    0.990    5.938    0.990 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/numeric.py:246(ones_like)
        4    5.422    1.356    5.434    1.358 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:266(_validated_group_inputs)
        3    3.881    1.294    3.881    1.294 {method 'copy' of 'numpy.ndarray' objects}
       24    2.570    0.107    2.571    0.107 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/numeric.py:97(zeros_like)
       61    1.178    0.019    1.190    0.020 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/_afm.py:111(_parse_header)
       96    0.763    0.008    0.772    0.008 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/font_manager.py:494(get_weight)
        1    0.672    0.672  679.035  679.035 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b5x_full_depth_block_probe.py:185(_context)
        9    0.317    0.035    0.317    0.035 {built-in method _imp.create_dynamic}
        8    0.281    0.035    0.281    0.035 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1269(eigvalsh)
        1    0.200    0.200 1290.380 1290.380 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b7j_second_assembled_feedback.py:124(run_worker)
       54    0.182    0.003    0.191    0.004 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/continuum_emission.py:417(<genexpr>)
       54    0.180    0.003    0.188    0.003 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/continuum_emission.py:419(<genexpr>)
        2    0.178    0.089   15.545    7.773 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b5x_full_depth_block_probe.py:162(_parent_boosted_planck_outer)
       61    0.151    0.002    0.484    0.008 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/_afm.py:201(_parse_char_metrics)
        1    0.130    0.130    0.131    0.131 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/numeric.py:1226(roll)
        3    0.123    0.041    0.123    0.041 {built-in method numpy._core._multiarray_umath.c_einsum}
        3    0.120    0.040  300.732  100.244 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/multigroup_continuum.py:383(ground_state_milne_multigroup)
      108    0.111    0.001    0.111    0.001 {method 'decompress' of 'zlib.Decompress' objects}
   108364    0.107    0.000    0.166    0.000 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/_afm.py:51(_to_float)
     7698    0.082    0.000    0.152    0.000 /usr/lib/python3.12/inspect.py:875(cleandoc)
      366    0.064    0.000    0.064    0.000 {method 'read' of '_io.BufferedReader' objects}
       27    0.063    0.002    0.112    0.004 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/frequency_quadrature.py:343(integrate_frequency)
       47    0.062    0.001    0.158    0.003 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/_afm.py:255(_parse_kern_pairs)
    71911    0.058    0.000    0.101    0.000 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/_afm.py:231(<genexpr>)
     1211    0.052    0.000    0.052    0.000 {built-in method posix.stat}
      192    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
   101975    0.051    0.000    0.051    0.000 {method 'split' of 'str' objects}
       27    0.040    0.001    0.041    0.002 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/numeric.py:997(tensordot)
   197785    0.039    0.000    0.043    0.000 {built-in method builtins.isinstance}
    14357    0.035    0.000    0.130    0.000 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/_afm.py:71(_to_list_of_floats)
        6    0.033    0.006    0.038    0.006 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:109(lorentz_ray_transform)
        1    0.032    0.032    0.032    0.032 {method 'cumsum' of 'numpy.ndarray' objects}
248471/241817    0.031    0.000    0.033    0.000 {built-in method builtins.len}
      227    0.030    0.000    0.093    0.000 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/artist.py:1516(get_aliases)
   110715    0.030    0.000    0.032    0.000 {method 'decode' of 'bytes' objects}


