thermal_weight,population_weight,worst_score,original_L2,original_mass,original_max,matched_L2,matched_mass,matched_max
0.0,0.0,1.0160495415863238,1.0061500475207221,1.0160495415863238,1.0003275111706538,1.0,1.0,1.0
0.0,0.25,1.0164474128952894,1.0061446817762858,1.0164474128952894,1.0002054011424681,1.0000057782552145,1.0005714309535412,0.9998798603149405
0.0,0.5,1.0168940459963487,1.0061449117684178,1.0168940459963487,1.0000833038793702,1.0000164098743005,1.0011881555653597,0.9997597335226791
0.0,0.75,1.017389376670344,1.0061507374932805,1.017389376670344,0.9999612193860354,1.0000318947024665,1.0018500901890715,0.9996396196278635
0.0,1.0,1.0179333338279413,1.0061621588536753,1.0179333338279413,0.9998391476671419,1.0000522325142698,1.002557145275455,0.9995195186351437
0.0,1.25,1.0185881387598192,1.0061875032570993,1.0185881387598192,0.999719021179079,1.0000774230136367,1.0033092254322307,0.9993994305491709
0.0,1.5,1.0192998279103904,1.0062177296271757,1.0192998279103904,0.999598907606545,1.0001074658338818,1.0041062294874532,0.9992793553745983
0.0,1.75,1.02012105438096,1.0062528375239639,1.02012105438096,0.9994788069541968,1.0001423605377353,1.0049480505564108,0.9991592931160811
0.0,2.0,1.0210242342521214,1.0062928264365376,1.0210242342521214,0.9993587192266924,1.0001821066173742,1.005837796775183,0.9990392437782758
0.0,2.25,1.0220019082057472,1.006337695783026,1.0220019082057472,0.9992386444286914,1.00022670349446,1.006800929071646,0.9989192073658406
0.0,2.5,1.0230317779111882,1.0063874449106522,1.0230317779111882,0.9991185825648556,1.0002761505201812,1.007815480774471,0.998799183883436
0.0,2.75,1.0241136859011033,1.006442073095784,1.0241136859011033,0.9989985336398487,1.0003304469752987,1.0088812967584442,0.9986791733357239
0.0,3.0,1.025247467432932,1.0065015795439838,1.025247467432932,0.9988784976583354,1.0003895920701997,1.0099982147313404,0.9985591757273674
0.0,3.25,1.0264329506106173,1.006565963390068,1.0264329506106173,0.9987584746249825,1.0004535849449545,1.0111660653538386,0.9984391910630324
0.0,3.5,1.0276699565106855,1.0066352236981702,1.0276699565106855,0.998638464544459,1.0005224246693791,1.012384672363724,0.9983192193473858
0.0,3.75,1.0289582993124708,1.0067093594618066,1.0289582993124708,0.9985184674214349,1.0005961102431025,1.0136538527041772,0.9981992605850964
0.0,4.0,1.0302977864322667,1.006788369603952,1.0302977864322667,0.9983984832605823,1.000674640595639,1.014973416655929,0.9980793147808348
0.0,4.25,1.0316882186612026,1.006872252977116,1.0316882186612026,0.9982785120665751,1.0007580145864667,1.0163431679730879,0.9979593819392732
0.0,4.5,1.0331293903066072,1.006961008363427,1.0331293903066072,0.998158553844089,1.0008462310051098,1.0177629040223997,0.997839462065086
0.0,4.75,1.034621089336651,1.0070546344747209,1.034621089336651,0.9980386085978008,1.0009392885712258,1.0192324159257384,0.9977195551629486
0.0,5.0,1.0361630975280367,1.0071531299526324,1.0361630975280367,0.9979186763323901,1.0010371859346987,1.0207514887056013,0.9975996612375387
0.0,5.25,1.0377551906165112,1.007256493368696,1.0377551906165112,0.9977987570525373,1.001139921675737,1.0223199014333808,0.9974797802935358
0.0,5.5,1.0393971384499807,1.0073647232244467,1.0393971384499807,0.9976788507629253,1.0012474943049756,1.0239374273802024,0.9973599123356208
0.0,5.75,1.0410887051439872,1.0074778179515307,1.0410887051439872,0.9975589574682378,1.0013599022635842,1.0256038341700904,0.9972400573684761
0.0,6.0,1.0428296492393379,1.0075957759118166,1.0428296492393379,0.9974390771731613,1.0014771439233792,1.0273188839352498,0.9971202153967866
0.0,6.25,1.0446197238616435,1.0077185953975152,1.0446197238616435,0.9973192098823837,1.0015992175869415,1.0290823334732346,0.9970003864252389
0.0,6.5,1.0464586768825568,1.0078462746313017,1.0464586768825568,0.9971993556005938,1.0017261214877395,1.030893934405786,0.9968805704585202
0.0,6.75,1.0483462510824788,1.007978811766444,1.0483462510824788,0.9970795143324832,1.0018578537902554,1.032753433339119,0.9967607675013205
0.0,7.0,1.0502821843145123,1.0081162048869359,1.0502821843145123,0.9969596860827452,1.001994412590118,1.034660572025439,0.9966409775583317
0.0,7.25,1.0522662096694537,1.0082640831828058,1.0522662096694537,0.9968398708560743,1.0021357959142387,1.0366150875254772,0.9965212006342468
0.0,7.5,1.0542980556415977,1.0084206522120804,1.0542980556415977,0.9967200686571669,1.0022820017209557,1.0386167123718304,0.9964014367337607
0.0,7.75,1.0563774462951534,1.0085827791754294,1.0563774462951534,0.9966002794907215,1.0024330279001774,1.0406651747329019,0.9962816858615702
0.0,8.0,1.0585041014310546,1.0087504613930292,1.0585041014310546,0.9964805033614378,1.002588872273536,1.0427601985772303,0.9961619480223738
0.0,8.25,1.0606777367539773,1.0089236960950452,1.0606777367539773,0.9963607402740176,1.0027566947704845,1.0449015038380234,0.9960422232208718
0.0,8.5,1.0628980640393484,1.009102480421858,1.0628980640393484,0.9962409902331644,1.0029343862860327,1.0470888065776822,0.9959225114617658
0.0,8.75,1.0651647913001674,1.0092868114242983,1.0651647913001674,0.9961212532435836,1.0031175905733998,1.0493218191521412,0.9958028127497602
0.0,9.0,1.0674776229534482,1.009476686063888,1.0674776229534482,0.9960015293099818,1.00330630461268,1.0516002503748358,0.9956831270895597
0.0,9.25,1.0698362599860962,1.0096721012130883,1.0698362599860962,0.995881818437068,1.0035005252954519,1.053923805680111,0.9955634544858721
0.0,9.5,1.0722404001200538,1.0098730536555562,1.0722404001200538,0.9957621206295528,1.0037002494250316,1.056292187285911,0.9954437949434064
0.0,9.75,1.0746897379765323,1.010079540086405,1.0746897379765323,0.9956424358921483,1.0039054737167343,1.0587050943555683,0.9953241484668729
0.0,10.0,1.0771839652391797,1.0102915571124764,1.0771839652391797,0.9955227642295684,1.0041161947981412,1.0611622231585447,0.9952045150609844
0.0,10.25,1.0797227708160164,1.010509101252612,1.0797227708160164,0.9954031056465288,1.004332409209373,1.0636632672299584,0.9950848947304548
