case,l2_ratio,linf_ratio,positive_step,line_fraction,interior_affinity_tested,linear_audit_passed,gmres_info,wall_s,peak_rss_mib,time_over_one_map,boundary_ratio
base/14,2.1982719518326515e-05,9.177696385856737e-05,1.0,1.0,False,False,2,219.40212058182806,3160.4921875,19.184127949415426,1.7010929830163943e-05
base/47,0.10199134009771109,0.3272514056801459,1.0,1.0,False,False,2,233.63835601694882,3204.875,19.12054960585981,0.015051357673141462
trial/14,2.6001819448252662e-05,0.0001298665737033587,1.0,1.0,False,False,2,218.67880326602608,3160.31640625,19.14003781857543,2.6380908009601215e-05
trial/47,0.09900393326333803,0.253564795838597,1.0,1.0,False,False,2,235.91271108482033,3204.9296875,19.131512014619304,
