case,pass_number,predicted_ratio,negative_q,negative_p,boundary_l1,boundary_bolometric
x6-x14-x15,1,0.71034856557841,93398,136662,4.890286347031541e-06,4.888036786411603e-06
x6-x14-x15,2,0.7016517740493879,0,0,5.690838977011825e-06,5.686579625300755e-06
x7-x14-x15,1,0.7100349959128819,95406,134912,5.055895948204038e-06,5.053151673590266e-06
x7-x14-x15,2,0.7026180501644627,0,0,5.76740749397428e-06,5.762837245368252e-06
