stage,case,matched_signal_l2,original_signal_l2,candidate_adjacent_l2,control_adjacent_l2,original_noise_ratio,both_adjacent_over_matched,matched_adjacent_over_signal,adjacent_cosine
prior,thermal,0.16484563881160935,0.21034428819259876,0.008299396234862949,0.013206576176224746,0.039456247213443346,0.1304612761740417,0.05939785373545597,0.6724987179689874
prior,population,0.047647814018352726,0.14884070012255132,0.016640124772057296,0.013206576176224746,0.11179821620266686,0.6264023137931543,0.08668723221771146,0.9880063655200431
new04,thermal,0.16975186392049338,0.23479786806429315,0.008141944465512977,0.011763760463853154,0.034676398608881415,0.1172635426182381,0.025032703984044283,0.9742147910696022
new04,population,0.04949224222083238,0.20255346182025802,0.012347399943665073,0.011763760463853154,0.06095872088635007,0.48717050037731585,0.01899301771261358,0.9981309079361734
new08,thermal,0.1708204191600269,0.2604599573114661,0.008409914638489254,0.010503416173671502,0.032288704664235265,0.11072055030167376,0.014795393439044202,0.9886521460838927
new08,population,0.04950022990600504,0.2457530615370125,0.010176896774783938,0.010503416173671502,0.041411068131296545,0.41778215955208403,0.01676243332108266,0.9972782822890879
